,PhoneNumber
0,2834441
1,3845275
2,9200335
3,2460938
4,4014341
5,6613825
6,6426650
7,8523828
8,4370872
9,7968678
10,3353393
11,7754173
12,3765018
13,3028420
14,2782454
15,2400111
16,5796988
17,6027456
18,5576765
19,8449243
20,3303026
21,9529739
22,2646769
23,2893658
24,9408404
25,2060694
26,7881683
27,6776352
28,7764330
29,4065482
30,9586887
31,1114190
32,3617760
33,1555461
34,2345657
35,7292009
36,5719900
37,1704100
38,2169400
39,6284686
40,3253201
41,1110098
42,7018422
43,2841004
44,7459010
45,4272094
46,5465460
47,3123852
48,8241414
49,6786592
50,3688723
51,3656280
52,4769926
53,6070969
54,8692966
55,8720606
56,5508720
57,2130253
58,7807650
59,4175636
60,3322954
61,9090202
62,8942605
63,6153960
64,4544197
65,1322858
66,9611452
67,9929799
68,6349584
69,8314104
70,7883842
71,4863994
72,3715151
73,5759123
74,4866405
75,5503370
76,4167472
77,4147948
78,7929978
79,7163747
80,3352105
81,7317264
82,2294630
83,6123610
84,3438900
85,8822612
86,4709559
87,6561227
88,3515114
89,8601283
90,3697864
91,4742811
92,7425103
93,5376465
94,1647031
95,7212827
96,6750272
97,1198034
98,6342543
99,7601684
